title,price,details,link,image_url,image_file,year,mileage,location
TIGGO 7 1.5 TCI TURBO AUTOMÁTICO,"R$ 135.890,00",,https://www.carflix.com.br/comprar/82639/caoa-chery/tiggo-7/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/3aac4abf-fc42-402f-8bc5-6d60bf01d94b/638826376443411467-638826376443098964-blob.jpg?height=215&mode=crop&compress=true&width=285,028_TIGGO_7_15_TCI_TURBO_AUTOMÁTICO.jpg,,,
VIRTUS 1.6 MSI TOTAL FLEX MANUAL,"R$ 67.890,00",,https://www.carflix.com.br/comprar/81036/volkswagen/virtus/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/8555b206-8f6b-4b6f-a7a2-67388d52159b/638803926670926627-638803926670614147-blob.jpg?height=215&mode=crop&compress=true&width=285,029_VIRTUS_16_MSI_TOTAL_FLEX_MANUAL.jpg,,,
RANGE ROVER EVOQUE 2.0 SE AUTOMÁTICO,,,https://www.carflix.com.br/comprar/83230/land-rover/range-rover-evoque/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/e28637ba-f175-4129-b215-dad349e12e47/638834208982798522-1747834559029.jpg?height=215&mode=crop&compress=true&width=285,030_RANGE_ROVER_EVOQUE_20_SE_AUTOMÁTICO.jpg,,,
OUTLANDER 2.0 16V GASOLINA 4P AUTOMÁTICO,,,https://www.carflix.com.br/comprar/79689/mitsubishi/outlander/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/47482045-3e26-451e-af12-4e98e2694d6a/638781558582539661-638781558582539661-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,031_OUTLANDER_20_16V_GASOLINA_4P_AUTOMÁTICO.jpg,,,
C3 1.6 16V FLEX FEEL AUTOMÁTICO,,,https://www.carflix.com.br/comprar/87133/citroen/c3/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/a1144f22-13db-41c1-b102-002d89bf2f77/638908748857779607-638908748857779607-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,032_C3_16_16V_FLEX_FEEL_AUTOMÁTICO.jpg,,,
TIGUAN 2.0 350 TSI GASOLINA AUTOMÁTICO,"R$ 154.990,00",,https://www.carflix.com.br/comprar/79852/volkswagen/tiguan/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/25a67bca-8041-4427-acec-1f0acc140ce5/638781709432932099-638781709432932099-blob.jpg?height=215&mode=crop&compress=true&width=285,033_TIGUAN_20_350_TSI_GASOLINA_AUTOMÁTICO.jpg,,,
3008 1.6 16V THP GASOLINA AUTOMÁTICO,,,https://www.carflix.com.br/comprar/81165/peugeot/3008/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/440cc4a3-cc21-4d68-b005-51c8922eeb98/638803232232565030-638803232232565030-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,034_3008_16_16V_THP_GASOLINA_AUTOMÁTICO.jpg,,,
SONG PLUS 1.5 DMI HÍBRIDO AUTOMÁTICO,"R$ 180.000,00",,https://www.carflix.com.br/comprar/86760/byd/song-plus/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/47051cf6-2aa7-43bf-a9d8-8df0b22f4312/638901860387425704-638901860387425704-blob.jpg?height=215&mode=crop&compress=true&width=285,035_SONG_PLUS_15_DMI_HÍBRIDO_AUTOMÁTICO.jpg,,,
VIRTUS 1.6 MSI TOTAL FLEX AUTOMÁTICO,"R$ 79.890,00",,https://www.carflix.com.br/comprar/80236/volkswagen/virtus/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/b59d5b12-de6c-46da-b8e7-e3143cb77846/638787556225872646-638787556225872646-blob.jpg?height=215&mode=crop&compress=true&width=285,036_VIRTUS_16_MSI_TOTAL_FLEX_AUTOMÁTICO.jpg,,,
JETTA 1.4 16V TSI COMFORTLINE AUTOMÁTICO,"R$ 78.900,00",,https://www.carflix.com.br/comprar/86669/volkswagen/jetta/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/4cf8b361-9be2-4a88-90f6-cddb3468349c/638906864384117110-638906864384117110-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,037_JETTA_14_16V_TSI_COMFORTLINE_AUTOMÁTICO.jpg,,,
